Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
93035,1GQ8bpeJW2o4oOFALGWVDk,Ivan Rebroff,Best of Ivan Rebroff (18 Hits),Les deux guitares,14,216306,False,0.426,0.208,2,-14.852,0,0.039,0.984,0.0186,0.097,0.374,94.51,4,romance
49044,4pZHTACwalMScYknlHyzFQ,Sound Rush,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,Breaking Boundaries (The Qontinent Anthem 2022),0,294197,False,0.263,0.935,11,-3.964,0,0.305,0.00257,1.07e-06,0.207,0.229,154.641,4,hardstyle
7918,5zsatkx2tAjgZSWAJGaK2T,Clarence White,33 Guitar Instrumentals,Black Mountain Blues (Rag),21,97293,False,0.465,0.474,2,-11.693,1,0.0335,0.926,0.913,0.312,0.963,64.496,4,bluegrass
38998,1TDWF4d2tyP4VZKOEXbAJu,Black Box Revelation;Seasick Steve,Tattooed Smiles,Built To Last,25,207360,False,0.414,0.878,7,-5.398,0,0.0796,0.19,2.39e-06,0.0894,0.664,94.323,4,garage
13760,6hyGyS00ccQ9NE5NpQ7iap,Bad Boy Bill;Milty Evans;Brian Boncher,Funky Music,Funky Music,5,332950,False,0.779,0.86,2,-4.609,1,0.137,0.123,0.0696,0.102,0.232,122.079,4,chicago-house
15100,3lUQpvfWFcxZC3RYAVGE7F,Pink Sweat$,I Feel Good,I Feel Good,68,136058,False,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,chill
44202,5AMWj2Dc7oNb4qCHb5cOad,Linkin Park,Minutes to Midnight,Valentine's Day,45,196813,False,0.654,0.66,5,-5.594,1,0.0283,0.0252,0.0371,0.278,0.412,108.039,4,grunge
15606,3w6qEOd9WRwi2ABP347c5H,RINI,Constellations,Out of the Blue,61,197580,False,0.596,0.4,11,-6.245,0,0.0284,0.566,0.000246,0.29,0.227,79.018,4,chill
14986,4DSw2TcqfzCzZ1VEQ8mPzJ,Twinkle Twinkle Little Rock Star,Lullaby Versions of Disney Classics,The Bare Necessities (Jungle Book),28,198095,False,0.744,0.266,0,-19.781,1,0.0438,0.915,0.928,0.0536,0.617,125.957,4,children
17596,2RF6eSUY1uOWaQjIC4rAFb,Glee Cast,"Glee: The Music, The Complete Season One",Halo / Walking On Sunshine,49,125013,False,0.243,0.91,9,-5.193,1,0.111,0.066,3.37e-06,0.137,0.252,193.95,4,club
11851,7JK8XRHurusTnfalMv43sr,Snowy White;The White Flames,No Faith Required,Midnight Blues,49,513360,False,0.477,0.251,4,-12.852,0,0.0592,0.782,0.0387,0.0842,0.114,131.876,4,british
7958,21pfC9RXOdcwxeaxkHPoAL,South Austin Jug Band,South Austin Jug Band,The Ballad of Eddie Mullet,20,293400,True,0.575,0.485,2,-9.172,1,0.036,0.704,0.0,0.074,0.758,162.134,4,bluegrass
50845,5bRel6l8MBGhZJaONqfNMz,Pappo;Adrián Otero,"Pappo y Amigos, Vol. 2",Slide Blues,21,320373,False,0.37,0.431,5,-8.698,1,0.0364,0.0715,1.53e-05,0.192,0.451,142.802,3,heavy-metal
23153,1xlXvK3CtEGFttrOPijgCS,Ömer Balık,Coffee Blues,Coffee Blues,53,220000,False,0.843,0.37,6,-11.635,0,0.041,0.521,0.0097,0.114,0.664,99.996,4,deep-house
53654,2Gl0FzuLxflY6nPifJp5Dr,Kygo;Ellie Goulding,First Time,First Time,65,193511,False,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,4,house
84896,5L7hKjKiQap6F28aqqbXpP,Grateful Dead,One from the Vault (Live),"Introduction - Live at the Great American Music Hall, San Francisco, CA, August 13, 1975",27,46440,False,0.658,0.419,0,-14.398,1,0.199,0.546,0.000103,0.621,0.542,100.573,4,psych-rock
34159,44alNkXsYnTyPnkMdohBcx,The Paper Kites,Woodland,Bloom (Online Bonus Track),64,209816,False,0.581,0.421,1,-9.792,1,0.0245,0.894,0.000491,0.119,0.433,95.969,4,folk
