symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url,wiki_title,wiki_url,company_type,traded_as,founded,headquarters,num_locations,area_served,key_people,services,revenue,operating_income,net_income,total_assets,total_equity,num_employees,subsidiaries,website,founders,formerly,products,isin
ARES,Ares Management Corporation Class A Common Stock,$147.43,3.12,2.162%,1424060,48190313477.0,United States,2014.0,Investment Managers,Finance,/market-activity/stocks/ares,PPL Corporation,https://en.wikipedia.org/wiki/PPL_Corporation,Public,NYSE: PPLS&P 500 component,"June 4, 1920; 105 years ago (June 4, 1920)","Allentown, Pennsylvania, U.S.",,,"Vincent Sorgi, President and Chief Executive Officer",,US$7.9 billion (2022),"1,374,000,000 United States dollar (2022)",US$756 million (2022),,,"more than 6,500 (2022)",,pplweb.com,,,,
GL,Globe Life Inc. Common Stock,$132.42,2.05,1.572%,561159,10541400036.0,United States,,Life Insurance,Finance,/market-activity/stocks/gl,"Strategic Education, Inc.","https://en.wikipedia.org/wiki/Strategic_Education,_Inc.",Public,Nasdaq: STRAS&P 600 component,,"Herndon, Virginia, U.S.",,,Robert S. Silberman(executive chairman)Karl McDonnell (CEO)Daniel W. Jackson (CFO),Online education,"US$ 1,027,700,000 (2020)","US$ 94,400,000 (2020)","US$ 39,300,000 (2020)",,,"3,076 (2019)",,strategiceducation.com,,,,
AMAL,Amalgamated Financial Corp. Common Stock (DE),$28.81,1.0,3.596%,178579,862465379.0,United States,2018.0,Major Banks,Finance,/market-activity/stocks/amal,First National Financial Corporation,https://en.wikipedia.org/wiki/First_National_Financial_Corporation,Public,TSX: FN,1988; 37 years ago (1988),"Toronto, Canada",,,"Stephen Smith, Executive Chairman and Co-Founder Jason Ellis, President and Chief Executive Officer Moray Tawse, Senior Executive Vice President and Co-Founder Rob Inglis, Chief Financial Officer",,$2.2 billion (2024),,$203.3 million (2024),,,"1,771 (2024)",First National Financial LP,www.firstnational.ca,Stephen Smith & Moray Tawse,,,
MRBK,Meridian Corporation Common Stock,$15.10,0.6,4.138%,94196,173913586.0,United States,2017.0,Major Banks,Finance,/market-activity/stocks/mrbk,Par Pacific Holdings,https://en.wikipedia.org/wiki/Par_Pacific_Holdings,Public,AMEX: PARRS&P 600 component,,"Houston, Texas, U.S.",,,William Monteleone(President & CEO),,US$ 1.865 billion (2016),US$-16.494 million (2016),US$-45.835 million (2016),US$ 403.108 million (2016),,863,,parpacific.com,,,"Oil, natural gas, petroleum",
EBC,Eastern Bankshares Inc. Common Stock,$18.21,0.77,4.415%,1716595,3838630305.0,United States,2020.0,Savings Institutions,Finance,/market-activity/stocks/ebc,Exact Sciences Corp.,https://en.wikipedia.org/wiki/Exact_Sciences_Corp.,Public,Nasdaq: EXASRussell 1000 component,"1995; 30 years ago (1995) in Marlborough, Massachusetts","Madison, Wisconsin, U.S.",,,"Kevin Conroy (chairman, president & CEO)Jorge Garces (CSO)",,US$2.50 billion (2023),US$−215 million (2023),US$−204 million (2023),US$6.47 billion (2023),US$3.15 billion (2023),"6,500 (Dec 2023)",Subsidiary List BiomatricaExact Sciences DevelopmentExact Sciences InnovationExact Sciences InternationalExact Sciences LaboratoriesExact Sciences ThriveGenomic HealthParadigm DiagnosticsPrevention Genetics,exactsciences.com,Stanley LapidusAnthony P. Shuber,,"Cologuard, Oncotype DX, Oncotype MAP",
AGO,Assured Guaranty Ltd. Common Stock,$89.79,1.74,1.976%,351183,4140135640.0,Bermuda,2004.0,Property-Casualty Insurers,Finance,/market-activity/stocks/ago,Oklo Inc.,https://en.wikipedia.org/wiki/Oklo_Inc.,Public,NYSE: OKLO,2013; 12 years ago (2013),"Santa Clara, California, U.S.",,Worldwide,,,,,,,,100 (2024),,oklo.com,Jacob DeWitte Caroline DeWitte,,Aurora Powerhouse Reactor,
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$7.68,-1.43,-15.697%,743466,324168146.0,Cayman Islands,2018.0,Finance: Consumer Services,Finance,/market-activity/stocks/xyf,Ally Financial,https://en.wikipedia.org/wiki/Ally_Financial,Public,NYSE: ALLYS&P 400 component,1919; 106 years ago (1919) (as General Motors Acceptance Corporation),"Ally Detroit CenterDetroit, Michigan, United States (Ally Financial)Sandy, Utah, United States (Ally Bank)Ally Charlotte CenterCharlotte, North Carolina, United States (Corporate Center)",,,Franklin W. Hobbs (chairman)Michael G. Rhodes (CEO)Russell E. Hutchinson (CFO),Car financeOnline bankingMortgage loansStockbrokerElectronic trading platform,US$5.834 billion (2024),"2,342,000,000 United States dollar (2022)",US$558 million (2023),US$191.836 billion (2024),US$13.903 billion (2024),"10,700 (2024)",,ally.com,,GMAC Inc. (1919–2010),,
RM,Regional Management Corp. Common Stock,$36.51,-0.03,-0.082%,110227,354614511.0,United States,2012.0,Finance: Consumer Services,Finance,/market-activity/stocks/rm,"Waste Management, Inc.","https://en.wikipedia.org/wiki/Waste_Management,_Inc.",Public,NYSE: WMS&P 500 component,"January 1, 1968; 57 years ago (1968-01-01)[citation needed] in Chicago, Illinois, U.S.","Houston, Texas, U.S.",,North America,"James C. Fish, Jr. (president & CEO)","Waste, recyclables, yard debris / organics, and hazardous materials collection, hauling, treatment and disposalDumpster rentalPortable toilet rentalSustainability Advisory Services","US$20.426 billion (Fiscal Year Ended December 31, 2023)","US$3.575 billion (Fiscal Year Ended December 31, 2023)","US$2.304 billion (Fiscal Year Ended December 31, 2023)","US$32.823 billion (Fiscal Year Ended December 31, 2023)","US$6.903 billion (Fiscal Year Ended December 31, 2023)","~48,000 (December 2023)",,wm.com,Wayne HuizengaDean Buntrock,"USA Waste Services, Inc.",Bagster,
FUFUW,BitFuFu Inc. Warrant,$0.24,-0.0074,-2.991%,22716,39145588.0,Singapore,,Finance: Consumer Services,Finance,/market-activity/stocks/fufuw,Intrusion Inc.,https://en.wikipedia.org/wiki/Intrusion_Inc.,Public,INTZ,1983,"Plano, Texas",,,Tony Scott (CEO),,,,,,,,,https://www.intrusion.com/,"T. Joe Head, G. Ward Paxton",,,
HAFC,Hanmi Financial Corporation Common Stock,$27.26,0.8,3.023%,202011,816581669.0,United States,,Major Banks,Finance,/market-activity/stocks/hafc,Telus Corporation,https://en.wikipedia.org/wiki/Telus_Corporation,Public,TSX: T (voting)NYSE: TUS&P/TSX 60 component,"1990; 35 years ago (1990) in Edmonton, Alberta, Canada","510 West Georgia Street, Vancouver, British Columbia, Canada",,Worldwide,Darren Entwistle (president and CEO)Doug French (CFO),,CA$20.116 billion (2023),CA$2.362 billion (2023),CA$867 millions (2023),CA$56.136 billions (2023),,"106,400 (2023)",Telus CommunicationsTelus MobilityTelus HealthTelus DigitalTelus Agriculture,www.telus.com,,,"HSPA+, LTE, 5G",CA87971M1032
