OBJECTID,SE_ANNO_CAD_DATA,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,DIAGRAMLINK,REPORTLINK,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,STCOLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,SPDCASENO,Source of the collision report,Source description,Added date,Modified date,SHAREDMICROMOBILITYCD,SHAREDMICROMOBILITYDESC,x,y
32484401,System.Byte[],251100,251700,E726532,Matched,Block,,AURORA AVE N BETWEEN N NORTHGATE WAY AND N 107TH S ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,10/23/2017 12:00:00 AM,10/23/2017 9:35:00 AM,Mid-Block (not related to intersection),28.0,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\56280000.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E726532.pdf,,,,32.0,One parked--one moving,0,0,N,2017-393360,PTCR,Police Traffic Collision Report,10/26/2017 12:00:00 AM,5/10/2022 12:00:00 AM,,,1268319.02820754,261106.944575414
32710613,System.Byte[],342762,344262,EB54715,Matched,Block,,GREENWOOD AVE N BETWEEN N 83RD ST AND N 84TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,07/26/2021 12:00:00 AM,7/26/2021 2:01:00 PM,Mid-Block (not related to intersection),16.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11161100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\EB54715.pdf,,,,8.0,Pedalcyclist All Other Involvements ONE UNIT - PEDALCYCLIST ONLY or PEDALCYCLIST STR,0,0,N,2021-190841,PTCR,Police Traffic Collision Report,8/25/2021 12:00:00 AM,5/11/2022 12:00:00 AM,,,1265593.18718076,255205.356025368
32694956,System.Byte[],321993,323493,3795891,Matched,Block,,3RD AVE BETWEEN VIRGINIA ST AND LENORA ST,,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,06/12/2019 12:00:00 AM,6/12/2019 6:01:00 PM,Mid-Block (not related to intersection),24.0,MOTOR VEHCILE STRUCK PEDESTRIAN,Y,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44240907.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3795891.pdf,,,,0.0,Vehicle going straight hits pedestrian,0,0,N,2019-214447,PTCR,Police Traffic Collision Report,8/7/2019 12:00:00 AM,9/12/2019 12:00:00 AM,,,1268433.32273565,227169.23362866
32628370,System.Byte[],172363,172383,3580947,Matched,Block,,RAINIER AVE S BETWEEN S KENYON ST AND S ELMGROVE ST,,,2,Injury Collision,Left Turn,2,0,0,2,1,0,0,07/21/2014 12:00:00 AM,7/21/2014 8:52:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\11115300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3580947.pdf,,,,28.0,From opposite direction - one left turn - one straight,0,0,N,14-238412,PTCR,Police Traffic Collision Report,7/24/2014 12:00:00 AM,5/4/2015 12:00:00 AM,,,1285521.53651316,196993.206013769
32636733,System.Byte[],187762,187842,3707761,Matched,Intersection,29963.0,6TH AVE AND CHERRY ST,,,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,03/17/2015 12:00:00 AM,3/17/2015 12:07:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\42114400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3707761.pdf,,,,15.0,From same direction - one left turn - one straight,0,0,N,2015-87402,PTCR,Police Traffic Collision Report,3/19/2015 12:00:00 AM,5/5/2015 12:00:00 AM,,,1271535.74661084,224224.612249643
32635753,System.Byte[],185145,185225,3695262,Matched,Block,,E YESLER WAY BETWEEN 24TH AVE AND 25TH AVE,,,2,Injury Collision,Head On,3,0,0,2,1,0,0,02/10/2015 12:00:00 AM,2/10/2015 11:30:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\32113300.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3695262.pdf,,,,30.0,From opposite direction - all others,0,0,N,2015-46720,PTCR,Police Traffic Collision Report,2/11/2015 12:00:00 AM,5/4/2015 12:00:00 AM,,,1278468.39186594,222919.164952308
32684788,System.Byte[],300671,301885,E829225,Matched,Intersection,35460.0,52ND AVE S AND RAINIER AVE S,,,1,Property Damage Only Collision,Right Turn,2,0,0,2,0,0,0,07/23/2018 12:00:00 AM,7/23/2018 6:41:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\12111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E829225.pdf,,,,16.0,From same direction - one right turn - one straight,0,0,N,2018-271162,PTCR,Police Traffic Collision Report,8/24/2018 12:00:00 AM,11/21/2018 12:00:00 AM,,,1286094.59769775,192926.686329603
32484071,System.Byte[],361100,362580,3895458,Matched,Intersection,23882.0,15TH AVE NW AND NW 80TH ST,,,2,Injury Collision,Head On,3,0,0,2,2,0,0,04/10/2023 12:00:00 AM,4/10/2023 10:29:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\53111100.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3895458.pdf,,,,30.0,From opposite direction - all others,0,0,N,2023-97112,PTCR,Police Traffic Collision Report,4/28/2023 12:00:00 AM,10/30/2023 12:00:00 AM,,,1260282.02704731,254364.084152505
32692586,System.Byte[],317837,319337,3815267,Matched,Intersection,34628.0,SEWARD PARK AVE S AND S WILLOW ST,,,2b,Serious Injury Collision,Head On,2,0,0,2,2,2,0,04/21/2019 12:00:00 AM,4/21/2019 4:56:00 AM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,Y,Clear,Dry,Dark - Street Lights On,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\21116600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3815267.pdf,,,,24.0,From opposite direction - both moving - head-on,0,0,N,2019-141019,PTCR,Police Traffic Collision Report,4/23/2019 12:00:00 AM,7/2/2019 12:00:00 AM,,,1286565.86681823,200519.712641373
32636301,System.Byte[],184211,184291,3642248,Matched,Block,,LAKE CITY WAY NE BETWEEN NE 137TH ST AND NE 140TH ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,0,0,0,01/26/2015 12:00:00 AM,1/26/2015 4:24:00 PM,Driveway Junction,11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\63112200.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3642248.pdf,,,,28.0,From opposite direction - one left turn - one straight,0,0,N,15-29180,PTCR,Police Traffic Collision Report,1/29/2015 12:00:00 AM,11/21/2018 12:00:00 AM,,,1281386.39116493,269392.786887899
32692534,System.Byte[],319604,321104,3793162,Matched,Block,,MIDVALE AVE N BETWEEN N 41ST ST AND N 42ND ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,05/28/2019 12:00:00 AM,5/28/2019 5:34:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\50119500.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\3793162.pdf,,,,32.0,One parked--one moving,0,0,Y,19-192152,PTCR,Police Traffic Collision Report,6/4/2019 12:00:00 AM,8/2/2019 12:00:00 AM,,,1268255.94507147,243426.869037315
32676684,System.Byte[],281441,282301,E783316,Matched,Block,,ELLIOTT AVE BETWEEN BELL ST AND BATTERY ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,03/20/2018 12:00:00 AM,3/20/2018 11:16:00 AM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\43114400.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E783316.pdf,,,,20.0,One car leaving parked position,0,0,N,2018-99415,PTCR,Police Traffic Collision Report,4/11/2018 12:00:00 AM,5/2/2018 12:00:00 AM,,,1266620.7798858,227076.32937257
32692964,System.Byte[],320113,321613,E921918,Matched,Intersection,33383.0,CORGIAT DR S AND S ALBRO PL,,,2,Injury Collision,Angles,4,0,0,2,1,0,0,04/10/2019 12:00:00 AM,4/10/2019 7:50:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Dusk,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_DIAGRAM\44116600.jpg,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\COL_REPORT\E921918.pdf,,,,10.0,Entering at angle,0,0,N,19-127477,PTCR,Police Traffic Collision Report,6/12/2019 12:00:00 AM,6/13/2019 12:00:00 AM,,,1275138.41643852,203465.699716389
